SKU,Description,Cost
SPU7C19731,"PDU 48U Vertical PMDU w/ Mylar, I-MX"," $1,863.46 "
SSG7B28177,"SWITCH 1G Mgmt Switch-M1, MX", $356.57 
STA7B69903,ECAT_TLA Glacier Peak-PVT_M1262026-002," $1,135.89 "
SH47C13792,"HEATSINK CPU_RHS, CM-VNM", $48.75 
SC17A95197,CABLE MB Power and Signal Cable, $24.08 
SC17A97750,"CABLE HAR 1.5m Relay Cable, ROW, M1W", $22.37 
0000001R3747,PACKAGING APPLIANCE TAPE,  
SB47C06838,BRACKET S21A1_HBA_Bracket, $0.48 
SM17C17909,MECH_ASM M1_E1S_dummy_ruler_w/gasket, $1.37 
SM37C06564,MEMORY MTC40F2046S1RC56BD2 64G M1aAVAP, $315.09 
0000000Y3080,MECHANICAL Foam Seal, $2.66 
0000000Y7997,PACKAGING 1200x600mm Pallet,  
4PU7A90809,1U 18 C19/C13 48A 3P WYE PDU V2 CE,  
SM37A88577,MEMORY MTC20F2085S1RC48BA1 32GB 2Rx8 48R, $277.41 
SM37B81301,MEMORY H HMCG88AHBRA 32GB 2Rx8 64R, $282.95 
SM37B46514,MEMORY S M321R4GA3PB0-CWM 32GB 2Rx8 56R, $277.41 
SM37B46509,MEMORY MTC20F1045S1RC56BG1 32GB 1Rx4 56R, $277.41 
SM37B98479,MEMORY H HMCGM4MGBRB 96GB 2Rx4 56R, $840.61 
SM37B28528,MEMORY W LV32D4R2D8MF-32 32GB D4-32R,  
SM37B03416,MEMORY S M321R4GA3BB6-CQK 32GB 2Rx8 48R, $277.41 
SM37B46942,MEMORY S M321R2GA3PB0-CWM 16GB 1Rx8 56R,  
SM37B46941,MEMORY S M321R2GA3PB0-CWM 16GB 1Rx8 56R,  
SP17B69894,PACKAGING CorrugBTMTray meet CELP,  
SP17B70452,PACKAGING Shipgroup Tucklock Box-CELP,  
SP17B77525,PACKAGING Paper Envelope,  
SP17B84098,PACKAGING Bottom Cushion PE,  
SP17B84099,PACKAGING Front Cushion,  
SP17B84100,PACKAGING Rear Cushion,  
SP17B84101,PACKAGING HSC carton,  
SP17C05585,PACKAGING Pallet Top PE Sheet,  
SP17A33274,PACKAGING Acc. Box,  
SP17A66194,PACKAGING HDRC 42U Outer Carton,  
SP17A66208,PACKAGING F And R Horizontal Bar,  
SP17A66209,PACKAGING Side Horizontal Bar,  
SP17A66265,PACKAGING acc tray,  
SP17A66266,PACKAGING MTY-4U CS Carton,  
SP17A66267,PACKAGING TF Cushion-4U,  
SP17A66268,PACKAGING TR cushion-4U,  
SP17A66269,PACKAGING BF cushion-4U,  
SP17A66270,PACKAGING BR cushion-4U,  
SP17A66353,PACKAGING 42U Plastic PE Bag,  
SP17A66355,PACKAGING Ramp Carton Box,  
SP17A66356,PACKAGING Shipping Group Box,  
SP17B06388,PACKAGING Cushion EPE-ST50 V2-rear,  
SP17B06389,PACKAGING Cushion EPE-ST50 V2-front,  
SP17B06391,PACKAGING MTY-Carton-ST50 V2,  
SP17B34638,PACKAGING 73G1885 OBP bag,  
SP17B69153,PACKAGING Tamper label new source, $0.17 
SP17B69641,PACKAGING LDPE Bag,  
SL17A37933,LABEL ASSET TAG Ribbon,  
,,  
